Experiment Name,Test Top-1 (%),Test Top-5 (%)
B1_student,47.14,90.22
BYOL,49.96,91.66
Baseline,48.81,90.38
DINO,48.25,91.60
Ensemble-All,49.16,92.89
Ensemble-BYOL-DINO,49.51,93.17
Ensemble-SimCLR-BYOL,47.06,90.50
Ensemble-SimCLR-DINO,50.32,92.80
Prog-BYOL-DINO,48.70,91.70
Prog-BYOL-SimCLR,48.48,91.58
Prog-BYOL-SimCLR-DINO,49.28,92.40
Prog-DINO-BYOL,49.49,92.41
Prog-DINO-SimCLR,49.16,92.04
Prog-SimCLR-BYOL,52.21,92.22
Prog-SimCLR-BYOL-DINO,52.99,93.36
Prog-SimCLR-DINO,50.68,93.04
Prog-SimCLR-DINO-BYOL,53.69,93.76
SimCLR,50.32,93.41
T-BYOL_teacher,57.91,95.38
T-DINO_teacher,63.38,95.85
T-SUP_teacher,64.41,95.16
T-SimCLR_teacher,62.64,95.55
